record_id,nama_usaha,alamat,kecamatan
R005327,STUDIO Kencana Pangan,JALAN FLAMBOYAN NOMOR 99 RT 13 RW 10,Bogor Timur
R009043,CV Sejahtera Usaha 261,JALAN CENDANA NOMOR 3 RT 04 RW 06,Tanah Sareal
R003445,DEPOT Sukses Busana,JALAN DAHLIA NOMOR 84 RT 08 RW 07,Bogor Selatan
R006086,TOKO Mandiri Usaha,JALAN KEBUN RAYA NOMOR 240 RT 07 RW 09,Bogor Timur
R000353,BENGKEL Harapan Jaya,JALAN SEJAHTERA NOMOR 122 RT 10 RW 05,Tanah Sareal
R008759,DEPOT Prima Busana 037,JALAN DAHLIA NOMOR 211 RT 05 RW 03,Bogor Barat
R001363,KEDAI Jaya Utama,JALAN HARAPAN NOMOR 109 RT 07 RW 08,Tanah Sareal
R010899,DEPOT Makmur Kreatif 748,JALAN SENTOSA NOMOR 209 RT 05 RW 12,Bogor Selatan
R006449,STUDIO Karya Usaha,JALAN KEMUNING NOMOR 39 RT 05 RW 08,Bogor Selatan
R000376,UD Lestari Motor,JALAN CEMPAKA NOMOR 125 RT 06 RW 08,Bogor Timur
R008441,PT Mitra Usaha 775,JALAN PINUS NOMOR 153 RT 01 RW 10,Bogor Selatan
R010588,CV Harapan Jaya 485,JALAN CEMPAKA NOMOR 220 RT 05 RW 03,Bogor Tengah
R014457,Kedai Sentosa Utama 635,JALAN DURIAN NOMOR 158 RT 15 RW 11,Bogor Selatan
R013747,PT Sentosa Usaha 052,JALAN NUSA INDAH NOMOR 121 RT 14 RW 04,Bogor Barat
R002215,UD Anugerah Digital,JALAN TERATAI NOMOR 190 RT 13 RW 08,Bogor Utara
R013779,KEDAI Sentosa Busana 081,JALAN ANGGREK NOMOR 191 RT 10 RW 04,Bogor Barat
R001690,KEDAI Abadi Rasa,JALAN MENTARI NOMOR 172 RT 12 RW 10,Tanah Sareal
R001342,DEPOT Sentosa Bersama,JALAN TERATAI NOMOR 152 RT 06 RW 07,Bogor Tengah
R009728,TOKO Berkah Pangan 808,JALAN CEMPAKA NOMOR 96 RT 09 RW 10,Bogor Barat
R006667,UD Anugerah Sentosa,JALAN PURNAMA NOMOR 69 RT 03 RW 03,Bogor Tengah
R001536,WARUNG  Karya Pangan,JALAN FLAMBOYAN NOMOR 31 RT 15 RW 05,Bogor Selatan
R005917,DEPOT Sentosa Motor,JALAN RAMBUTAN NOMOR 140 RT 01 RW 12,Bogor Barat
R006292,CV Sukses Persada,JALAN CEMPAKA NOMOR 199 RT 02 RW 05,Bogor Timur
R011084,WARUNG Sejahtera Digital 890,JALAN HARAPAN NOMOR 41 RT 15 RW 09,Tanah Sareal
R007009,WARUNG Mandiri Abadi,JALAN ANGGREK NOMOR 120 RT 12 RW 07,Bogor Barat
R014421,TOKO Gemilang Elektronik 614,JALAN MENTARI NOMOR 95 RT 02 RW 07,Bogor Utara
R003706,STUDIO Abadi Elektronik,JALAN MELATI NOMOR 187 RT 14 RW 02,Bogor Selatan
R003544,WARUNG Maju Usaha,JALAN MANGGA NOMOR 91 RT 14 RW 06,Bogor Timur
R014761,WARUNG Cahaya Rasa 884,JALAN SUKAMAJU NOMOR 241 RT 04 RW 09,Bogor Timur
R008199,BENGKEL Kencana Elektronik 574,JALAN CENDANA NOMOR 106 RT 04 RW 09,Bogor Utara
R001922,CV Nusantara Utama,JALAN MANGGA NOMOR 132 RT 14 RW 05,Bogor Tengah
R005424,KEDAI Berkah Pangan,JL TERATAI NO 45 RT15 RW09,Bogor Selatan
R007348,studio lestari jaya,JALAN KENANGA NOMOR 43 RT 04 RW 04,Bogor Selatan
R008379,BENGKEL Makmur Niaga 725,JALAN MAWAR NOMOR 243 RT 02 RW 06,Bogor Barat
R006556,BENGKEL Prima Jaya,JALAN KENCANA NOMOR 28 RT 11 RW 02,Bogor Barat
R002263,DEPOT Lestari Jaya,JALAN KAMBOJA NOMOR 150 RT 07 RW 09,Bogor Tengah
R007070,CV Sejahtera Jaya,JALAN CEMPAKA NOMOR 136 RT 05 RW 06,Bogor Barat
R001398,DEPOT Makmur Usaha,JALAN PURNAMA NOMOR 180 RT 07 RW 03,Tanah Sareal
R011366,WARUNG Jaya Motor 130,JALAN WIJAYA NOMOR 28 RT 08 RW 01,Bogor Tengah
R010171,CV Sentosa Rasa 148,JALAN RAMBUTAN NOMOR 70 RT 06 RW 04,Bogor Barat
R011791,CV Makmur Makmur 476,JALAN SEJAHTERA NOMOR 104 RT 04 RW 06,Bogor Tengah
R003408,Warung Mitra Sejahtera,JALAN MELATI NOMOR 60 RT 15 RW 04,Bogor Selatan
R000011,TOKO Makmur Mandiri,JALAN RAMBUTAN NOMOR 48 RT 06 RW 05,Bogor Utara
R000157,CV Makmur Karya,JALAN WIJAYA NOMOR 22 RT 02 RW 11,Bogor Timur
R012822,UD Nusantara Rasa 330,JALAN MENTARI NOMOR 124 RT 15 RW 09,Bogor Selatan
R000432,STUDIO Sejahtera Sejahtera,JALAN KEBUN RAYA NOMOR 66 RT 07 RW 05,Tanah Sareal
R002040,PT Sejahtera Bersama,JALAN MAWAR NOMOR 165 RT 02 RW 08,Bogor Utara
R009586,BENGKEL Kencana Motor 699,JALAN KEMUNING NOMOR 56 RT 04 RW 08,Bogor Utara
R009194,BENGKEL Gemilang Busana 382,JALAN KEMUNING NOMOR 180 RT 04 RW 05,Bogor Timur
R000657,BENGKEL Abadi Pangan,JALAN MERDEKA 136 RT 11 RW 3,Bogor Tengah
R002119,KEDAI Sukses Busana,JALAN MELATI NOMOR 193 RT 11 RW 04,Bogor Utara
R009460,CV Karya Abadi 601,JALAN MENTARI NOMOR 135 RT 11 RW 08,Bogor Timur
R004975,DEPOT Karya Rasa,JALAN KAMBOJA NOMOR 27 RT 06 RW 10,Bogor Tengah
R012202,BENGKEL Cahaya Teknik 819,JALAN SILIWANGI NOMOR 241 RT 05 RW 04,Bogor Selatan
R005715,UD Sentosa Abadi,JALAN SENTOSA NOMOR 87 RT 14 RW 05,Bogor Tengah
R013766,CV Sentosa Pangan 068,JALAN PINUS NOMOR 82 RT 12 RW 06,Bogor Selatan
R005598,PT Karya Niaga,JALAN MANGGA NOMOR 108 RT 08 RW 12,Tanah Sareal
R006790,BENGKEL Sukses Busana,JALAN KENANGA NOMOR 128 RT 09 RW 11,Bogor Utara
R010704,BENGKEL Berkah Sejahtera 591,JALAN TERATAI NOMOR 11 RT 08 RW 10,Bogor Timur
R006876,PT Sentosa Rasa,JALAN KEMUNING NOMOR 30 RT 11 RW 07,Bogor Selatan
R001688,STUDIO Jaya Digital,JALAN SILIWANGI NOMOR 134 RT 04 RW 02,Bogor Selatan
R003138,STUDIO Nusantara Motor,JALAN PAJAJARAN NOMOR 46 RT 12 RW 08,Bogor Utara
R009396,DEPOT Prima Teknik 553,JALAN SUKAMAJU NOMOR 213 RT 15 RW 01,Bogor Selatan
R006709,WARUNG Utama Karya,JALAN MANGGA NOMOR 21 RT 13 RW 07,Bogor Tengah
R006189,PT Makmur Utama,JALAN HARAPAN NOMOR 62 RT 09 RW 02,Bogor Utara
R014674,CV Sukses Teknik 809,JALAN SILIWANGI NOMOR 152 RT 04 RW 04,Bogor Tengah
R013654,PT Cahaya Kreatif 983,JALAN SILIWANGI NOMOR 166 RT 15 RW 04,Tanah Sareal
R001064,TOKO Mitra Pangan,Jl. Anggrek No. 119 RT 7/RW 1,Bogor Timur
R006706,PT Abadi Motor,JALAN PINUS NOMOR 184 RT 02 RW 09,Bogor Selatan
R009352,TOKO Berkah Rasa 518,JALAN KENCANA NOMOR 125 RT 11 RW 08,Tanah Sareal
R009769,DEPOT Mitra Usaha 828,JALAN MENTARI NOMOR 35 RT 12 RW 11,Tanah Sareal
R004586,WARUNG Berkah Usaha,JALAN MELATI NOMOR 175 RT 04 RW 01,Tanah Sareal
R006721,CV Karya Digital,JALAN TERATAI NOMOR 102 RT 01 RW 05,Bogor Selatan
R002109,WARUNG Anugerah Persada,JALAN KAMBOJA NOMOR 146 RT 12 RW 03,Bogor Tengah
R001837,CV Prima Elektronik,JALAN DURIAN NOMOR 198 RT 02 RW 07,Bogor Tengah
R011660,DEPOT Cahaya Rasa 367,JALAN CENDANA NOMOR 107 RT 13 RW 05,Bogor Barat
R007782,STUDIO Cahaya Mandiri 243,JALAN FLAMBOYAN 38 RT 9 RW 10,Bogor Selatan
R008781,CV Sukses Rasa 057,JALAN SEJAHTERA NOMOR 33 RT 14 RW 02,Bogor Selatan
R007147,STUDIO Prima Elektronik,JALAN CEMPAKA NOMOR 155 RT 07 RW 06,Bogor Tengah
R014239,PT Berkah Sentosa 457,JALAN MERDEKA NOMOR 30 RT 05 RW 07,Bogor Utara
R012989,BENGKEL Berkah Rasa 458,JALAN KEBUN RAYA NOMOR 69 RT 02 RW 01,Bogor Tengah
R002177,DEPOT Jaya Kreatif,JALAN KEMUNING NOMOR 28 RT 10 RW 02,Bogor Utara
R007411,KEDAI Sejahtera Karya,JALAN DURIAN NOMOR 98 RT 06 RW 08,Bogor Tengah
R002242,BENGKEL Sejahtera Kreatif,JALAN CEMPAKA NOMOR 124 RT 13 RW 04,Bogor Tengah
R012869,STUDIO Mandiri Usaha 364,JALAN MELATI NOMOR 177 RT 04 RW 08,Bogor Barat
R004349,CV Nusantara Busana,JALAN MANGGA NOMOR 161 RT 06 RW 09,Bogor Utara
R013901,STUDIO Prima Usaha 185,JALAN MELATI NOMOR 68 RT 10 RW 08,Bogor Tengah
R014139,CV Makmur Abadi 374,JLN. Durian No 177 RT.03/RW.03,Bogor Barat
R007588,DEPOT Utama Digital 095,JALAN ANGGREK NOMOR 36 RT 01 RW 10,Bogor Tengah
R010519,DEPOT Makmur Kreatif 427,JALAN KEMUNING NOMOR 47 RT 13 RW 12,Bogor Selatan
R012637,CV Jaya Karya 177,JALAN WIJAYA NOMOR 186 RT 02 RW 12,Bogor Selatan
R007405,BENGKEL Mandiri Persada,JALAN DAHLIA NOMOR 169 RT 04 RW 09,Bogor Utara
R000654,DEPOT Sejahtera Rasa,jl siliwangi no 20 rt 1 rw 11,Bogor Utara
R009477,BENGKEL Berkah Busana 616,JALAN RAMBUTAN NOMOR 89 RT 11 RW 01,Bogor Selatan
R010042,BENGKEL Lestari Niaga 041,Jl. Wijaya No. 149 RT 13/RW 10,Bogor Barat
R013826,KEDAI Maju Niaga 119,JALAN DURIAN NOMOR 214 RT 03 RW 11,Bogor Timur
R000339,BENGKEL Abadi Usaha,JALAN PUSPA NOMOR 208 RT 03 RW 05,Bogor Selatan
R004678,PT Sukses Karya,JALAN SEJAHTERA NOMOR 238 RT 07 RW 12,Bogor Timur
R014746,BENGKEL Gemilang Niaga 872,JALAN SEJAHTERA NOMOR 105 RT 05 RW 09,Tanah Sareal
R013765,DEPOT Makmur Kreatif 067,JALAN MANGGA NOMOR 45 RT 12 RW 06,Bogor Selatan
R001258,KEDAI Makmur Elektronik,JL MAWAR NO 81 RT12 RW05,Bogor Utara
R000622,DEPOT Mitra Mandiri,JALAN KAMBOJA NOMOR 69 RT 11 RW 09,Bogor Utara
R006438,BENGKEL Berkah Digital,JALAN HARAPAN NOMOR 27 RT 11 RW 03,Bogor Utara
R006703,DEPOT Utama Teknik,JALAN KAMBOJA NOMOR 12 RT 13 RW 01,Tanah Sareal
R012653,UD Gemilang Pangan 189,JALAN DAHLIA NOMOR 68 RT 10 RW 07,Bogor Tengah
R008194,warung sejahtera sejahtera 570,JALAN ANGGREK 192 RT 13 RW 8,Bogor Barat
R007892,UD  Sejahtera Mandiri 324,jl purnama no 74 rt 2 rw 10,Bogor Barat
R003656,STUDIO Maju Mandiri,JALAN SUKAMAJU NOMOR 114 RT 15 RW 03,Bogor Selatan
R008533,BENGKEL Utama Utama 847,JALAN MELATI NOMOR 219 RT 05 RW 04,Bogor Selatan
R011712,STUDIO Nusantara Pangan 407,JALAN SUKAMAJU NOMOR 104 RT 03 RW 09,Bogor Tengah
R008082,TOKO Karya Mandiri 480,JALAN SENTOSA NOMOR 41 RT 11 RW 01,Bogor Timur
R000800,PT Sejahtera Rasa,JALAN SENTOSA NOMOR 237 RT 15 RW 07,Bogor Utara
R010071,PT Mitra Rasa 066,JALAN CENDANA NOMOR 148 RT 03 RW 01,Tanah Sareal
R001616,CV Kencana Persada,JALAN CENDANA NOMOR 199 RT 05 RW 12,Bogor Tengah
R009771,DEPOT Mitra Usaha 828,JL MENTARI NO 35 RT12 RW11,Tanah Sareal
R008881,KEDAI Karya Persada 138,JALAN KEMUNING NOMOR 89 RT 14 RW 10,Bogor Selatan
R005570,DEPOT Jaya Elektronik,JALAN SILIWANGI NOMOR 191 RT 06 RW 01,Tanah Sareal
R003020,DEPOT Abadi Pangan,JALAN DURIAN NOMOR 70 RT 08 RW 06,Tanah Sareal
R001319,BENGKEL Sentosa Usaha,jl cempaka no 193 rt 8 rw 2,Tanah Sareal
R007185,PT Mandiri Pangan,JALAN SENTOSA NOMOR 28 RT 09 RW 03,Bogor Timur
R000210,CV Jaya Usaha,JALAN KEBUN RAYA NOMOR 160 RT 14 RW 07,Bogor Barat
R012421,DEPOT Sukses Rasa 003,JALAN SILIWANGI NOMOR 49 RT 03 RW 04,Bogor Utara
R003937,CV Sejahtera Bersama,JALAN PUSPA NOMOR 132 RT 03 RW 05,Bogor Selatan
R012092,PT Maju Karya 721,JALAN KENANGA NOMOR 209 RT 10 RW 12,Bogor Barat
R003152,CV Abadi Utama,JALAN RAMBUTAN NOMOR 86 RT 02 RW 09,Bogor Timur
R014727,WARUNG Sukses Makmur 855,JALAN ANGGREK NOMOR 166 RT 04 RW 09,Tanah Sareal
R003136,PT Mitra Mandiri,JALAN MANGGA NOMOR 189 RT 12 RW 11,Bogor Tengah
R013782,KEDAI Sentosa Elektronik 084,JALAN MERDEKA NOMOR 208 RT 09 RW 11,Bogor Timur
R005556,PT Sejahtera Niaga,JALAN SENTOSA NOMOR 88 RT 01 RW 05,Bogor Timur
R003628,WARUNG Jaya Persada,JALAN KEBUN RAYA NOMOR 106 RT 12 RW 01,Tanah Sareal
R014453,BENGKEL Abadi Motor 633,JALAN CENDANA NOMOR 140 RT 13 RW 06,Bogor Barat
R001527,STUDIO Makmur Motor,JALAN SEJAHTERA NOMOR 8 RT 10 RW 09,Bogor Selatan
R011437,PT. Anugerah Utama 182,  Jl.  Kebun Raya   No 215  RT 15 / RW 05 ,Bogor Utara
R009256,STUDIO Gemilang Mandiri 435,JALAN SENTOSA NOMOR 17 RT 12 RW 03,Bogor Timur
R004643,UD Mitra Digital,JALAN CEMPAKA NOMOR 88 RT 13 RW 06,Tanah Sareal
R005065,TOKO Utama Bersama,JALAN PAJAJARAN NOMOR 51 RT 08 RW 06,Bogor Timur
R010832,KEDAI Utama Motor 690,JALAN WIJAYA NOMOR 113 RT 06 RW 10,Tanah Sareal
R000102,KEDAI Sentosa Karya,JALAN RAMBUTAN NOMOR 220 RT 01 RW 07,Bogor Tengah
R012501,KEDAI Sukses Persada 071,JALAN SENTOSA NOMOR 201 RT 13 RW 09,Bogor Tengah
R005311,WARUNG Prima Busana,JALAN SENTOSA NOMOR 98 RT 05 RW 02,Bogor Utara
R005204,pt nusantara sejahtera,JALAN CEMPAKA NOMOR 52 RT 14 RW 11,Bogor Tengah
R008948,CV Mitra Abadi 190,JALAN ANGGREK NOMOR 243 RT 04 RW 06,Bogor Timur
R008629,KEDAI Anugerah Motor 932,JALAN NUSA INDAH NOMOR 226 RT 02 RW 11,Tanah Sareal
R011899,BENGKEL Maju Rasa 561,JALAN SEJAHTERA NOMOR 55 RT 09 RW 06,Bogor Utara
R013315,PT Sukses Pangan 707,JALAN DAHLIA NOMOR 179 RT 15 RW 12,Tanah Sareal
R012752,BENGKEL Anugerah Pangan 268,Jl. Wijaya No. 59 RT 5/RW 6,Bogor Utara
R001460,STUDIO Utama Niaga,JALAN PINUS NOMOR 190 RT 05 RW 09,Bogor Utara
R014652,STUDIO Prima Bersama 790,JALAN PAJAJARAN NOMOR 22 RT 06 RW 07,Bogor Tengah
R001071,DEPOT Cahaya Digital,JALAN KEBUN RAYA NOMOR 146 RT 06 RW 06,Tanah Sareal
R003250,KEDAI Abadi Busana,JALAN CENDANA NOMOR 217 RT 06 RW 12,Bogor Selatan
R005613,DEPOT  Sentosa Elektronik,Jl. Kenanga No. 215 RT 6/RW 5,Bogor Utara
R014207,TOKO Jaya Abadi 431,JALAN MAWAR NOMOR 80 RT 12 RW 05,Bogor Tengah
R010125,CV Berkah Bersama 110,JALAN HARAPAN NOMOR 99 RT 03 RW 02,Bogor Selatan
R005453,TOKO Karya Sentosa,JALAN CENDANA NOMOR 199 RT 11 RW 12,Bogor Barat
R005788,  DEPOT Kencana Digital ,JLN. Cendana No 106 RT.09/RW.07,Bogor Selatan
R008010,PT Prima Niaga 421,JALAN TERATAI NOMOR 193 RT 09 RW 11,Bogor Timur
R010144,BENGKEL Anugerah Abadi 125,JALAN PURNAMA NOMOR 123 RT 15 RW 04,Bogor Utara
R005732,UD Utama Bersama,JALAN DURIAN NOMOR 122 RT 02 RW 11,Bogor Tengah
R007360,KEDAI Harapan Utama,JALAN MELATI NOMOR 77 RT 05 RW 06,Bogor Selatan
R008254,BENGKEL Jaya Kreatif 622,JALAN MAWAR NOMOR 7 RT 12 RW 07,Bogor Selatan
R013101,DEPOT Mandiri Niaga 552,JALAN DAHLIA NOMOR 165 RT 12 RW 12,Bogor Selatan
R013781,DEPOT Makmur Motor 083,JALAN MENTARI NOMOR 162 RT 02 RW 01,Tanah Sareal
R006890,UD Cahaya Usaha,JALAN DURIAN NOMOR 170 RT 10 RW 08,Tanah Sareal
R003918,KEDAI Karya Digital,JALAN MANGGA NOMOR 243 RT 01 RW 06,Bogor Tengah
R008299,CV Gemilang Motor 658,JALAN RAMBUTAN NOMOR 182 RT 11 RW 02,Bogor Tengah
R009993,PT Harapan Teknik 997,JALAN TERATAI NOMOR 33 RT 08 RW 03,Bogor Barat
R006915,UD Sejahtera Abadi,JALAN WIJAYA NOMOR 70 RT 14 RW 11,Bogor Utara
R014560,KEDAI Sukses Sentosa 711,JALAN KEMUNING NOMOR 40 RT 15 RW 06,Bogor Timur
R010572,depot abadi sejahtera 469,JALAN MANGGA NOMOR 7 RT 03 RW 12,Bogor Tengah
R004448,PT Maju Usaha,JALAN PURNAMA NOMOR 207 RT 07 RW 08,Bogor Utara
R003454,UD Mandiri Utama,JALAN PAJAJARAN NOMOR 170 RT 15 RW 11,Bogor Selatan
R001356,CV Abadi Karya,JALAN RAMBUTAN NOMOR 180 RT 08 RW 11,Bogor Utara
R004192,KEDAI Anugerah Jaya,JALAN PINUS NOMOR 188 RT 06 RW 11,Tanah Sareal
R001274,UD Mandiri Sejahtera,JALAN KENCANA NOMOR 53 RT 13 RW 10,Bogor Barat
R012936,TOKO Mandiri Utama 412,JALAN MENTARI NOMOR 211 RT 09 RW 11,Bogor Tengah
R007193,KEDAI Mandiri Motor,JALAN MELATI NOMOR 18 RT 14 RW 01,Bogor Barat
R011255,STUDIO Kencana Mandiri 033,JALAN PAJAJARAN NOMOR 46 RT 07 RW 01,Bogor Selatan
R001468,BENGKEL Harapan Makmur,JALAN KEMUNING NOMOR 198 RT 08 RW 03,Bogor Timur
R013602,DEPOT Sukses Rasa 937,JALAN KEMUNING NOMOR 155 RT 01 RW 04,Bogor Selatan
R000843,DEPOT Utama Motor,JALAN FLAMBOYAN NOMOR 166 RT 07 RW 05,Bogor Barat
R002656,PT Sukses Karya,JALAN SEJAHTERA NOMOR 201 RT 12 RW 04,Bogor Utara
R010901,WARUNG Maju Motor 749,"Jalan Teratai Nomor 199, RT 15 RW 07",Bogor Selatan
R013807,DEPOT Kencana Abadi 105,JALAN SUKAMAJU NOMOR 199 RT 12 RW 05,Bogor Timur
R002087,STUDIO Mandiri Elektronik,JALAN PURNAMA NOMOR 187 RT 13 RW 01,Bogor Timur
R004907,STUDIO Sejahtera Pangan,JALAN CEMPAKA NOMOR 205 RT 06 RW 01,Tanah Sareal
R013356,DEPOT Anugerah Sejahtera 741,JALAN DAHLIA NOMOR 165 RT 09 RW 08,Bogor Timur
R001303,TOKO Berkah Sejahtera,JALAN NUSA INDAH NOMOR 42 RT 15 RW 01,Tanah Sareal
R001421,BENGKEL Kencana Mandiri,"Jalan Anggrek Nomor 205, RT 03 RW 10",Bogor Tengah
R005162,STUDIO Harapan Mandiri,JALAN KEMUNING NOMOR 2 RT 08 RW 12,Bogor Selatan
R011642,CV Mitra Teknik 358,JALAN PINUS NOMOR 211 RT 06 RW 11,Bogor Tengah
R007915,DEPOT Prima Persada 342,JALAN KEBUN RAYA NOMOR 57 RT 11 RW 10,Bogor Barat
R002835,KEDAI Jaya Busana,JALAN PINUS NOMOR 247 RT 10 RW 12,Tanah Sareal
R008520,BENGKEL Mitra Kreatif 834,JALAN MANGGA NOMOR 118 RT 12 RW 11,Bogor Utara
R009726,KEDAI Makmur Sejahtera 807,JALAN KEBUN RAYA NOMOR 243 RT 12 RW 11,Tanah Sareal
R010183,TOKO Mitra Digital 156,JALAN SUKAMAJU NOMOR 182 RT 13 RW 04,Bogor Barat
R003433,PT Maju Elektronik,JALAN MERDEKA NOMOR 98 RT 10 RW 07,Bogor Tengah
R012369,DEPOT Lestari Busana 962,JALAN FLAMBOYAN NOMOR 236 RT 10 RW 06,Bogor Barat
R001546,DEPOT Maju Elektronik,JALAN MERDEKA NOMOR 62 RT 07 RW 10,Bogor Tengah
R004418,BENGKEL Mitra Utama,JALAN SILIWANGI NOMOR 73 RT 03 RW 05,Bogor Timur
R009510,KEDAI Sukses Utama 643,JALAN KEMUNING NOMOR 38 RT 08 RW 05,Tanah Sareal
R007125,WARUNG Abadi Busana,JALAN PUSPA NOMOR 244 RT 03 RW 06,Bogor Barat
R001497,WARUNG Mandiri Jaya,JALAN PURNAMA NOMOR 173 RT 03 RW 12,Bogor Timur
R013332,BENGKEL Nusantara Sejahtera 719,JALAN CEMPAKA NOMOR 90 RT 03 RW 06,Bogor Tengah
R007421,DEPOT Cahaya Usaha,JALAN HARAPAN NOMOR 188 RT 11 RW 04,Bogor Tengah
R001145,DEPOT Prima Karya,JALAN CENDANA NOMOR 72 RT 08 RW 11,Bogor Timur
R002101,DEPOT Prima Abadi,JALAN MAWAR NOMOR 75 RT 04 RW 02,Bogor Utara
R012051,DEPOT Kencana Jaya 690,JALAN KEMUNING NOMOR 182 RT 05 RW 02,Bogor Selatan
R002077,KEDAI Lestari Elektronik,JALAN KENANGA NOMOR 102 RT 09 RW 04,Bogor Timur
R011059,WARUNG Cahaya Karya 870,JALAN HARAPAN NOMOR 10 RT 14 RW 10,Bogor Utara
R007650,WARUNG Makmur Motor 134,Jl. Rambutan No. 60 RT 12/RW 7,Bogor Utara
R004697,STUDIO Jaya Teknik,JALAN SUKAMAJU NOMOR 128 RT 07 RW 07,Bogor Utara
R006739,STUDIO Harapan Sentosa,JALAN NUSA INDAH NOMOR 12 RT 12 RW 02,Bogor Timur
R008051,WARUNG Kencana Busana 456,JALAN MANGGA NOMOR 182 RT 06 RW 06,Bogor Utara
R008347,DEPOT Gemilang Digital 696,JALAN NUSA INDAH NOMOR 189 RT 13 RW 01,Bogor Selatan
R009425,BENGKEL Prima Niaga 573,Jl. Puspa No. 37 RT 8/RW 3,Bogor Selatan
R001152,BENGKEL Mitra Jaya,JALAN KENANGA NOMOR 125 RT 04 RW 03,Bogor Barat
R013469,TOKO Berkah Bersama 840,JALAN SENTOSA NOMOR 160 RT 06 RW 05,Tanah Sareal
R003174,Studio Nusantara Busana,  Jl.  Merdeka   No 105  RT 01 / RW 08 ,Bogor Selatan
R006243,CV Berkah Jaya,JALAN PUSPA NOMOR 224 RT 11 RW 02,Bogor Selatan
R006845,UD Karya Niaga,JALAN TERATAI NOMOR 225 RT 13 RW 11,Bogor Utara
R006992,BENGKEL Jaya Elektronik,JALAN RAMBUTAN NOMOR 93 RT 14 RW 01,Bogor Timur
R000579,BENGKEL Sukses Elektronik,JALAN WIJAYA NOMOR 156 RT 11 RW 12,Bogor Utara
R003878,WARUNG Harapan Usaha,JALAN MELATI NOMOR 173 RT 12 RW 08,Bogor Selatan
R006631,CV Berkah Digital,JALAN SEJAHTERA NOMOR 163 RT 14 RW 10,Bogor Utara
R014174,STUDIO Sukses Utama 404,JALAN KENANGA NOMOR 93 RT 08 RW 06,Tanah Sareal
R010681,KEDAI Karya Kreatif 570,JALAN SEJAHTERA NOMOR 240 RT 09 RW 11,Bogor Selatan
R011241,UD Karya Niaga 021,JALAN KAMBOJA NOMOR 173 RT 02 RW 09,Bogor Timur
R007848,STUDIO Berkah Sejahtera 288,JALAN KEBUN RAYA NOMOR 125 RT 04 RW 08,Bogor Barat
R001231,  CV Maju Motor ,jl purnama no 142 rt 7 rw 10,Bogor Barat
R006833,BENGKEL Utama Bersama,JALAN WIJAYA NOMOR 198 RT 02 RW 04,Tanah Sareal
R004892,TOKO Utama Mandiri,JALAN CEMPAKA NOMOR 167 RT 15 RW 10,Bogor Timur
R001278,DEPOT Utama Pangan,JLN. Purnama No 184 RT.02/RW.01,Bogor Utara
R011309,KEDAI Cahaya Teknik 081,JALAN CENDANA NOMOR 137 RT 11 RW 08,Bogor Selatan
R005375,PT Cahaya Elektronik,JALAN KEMUNING NOMOR 71 RT 04 RW 06,Tanah Sareal
R000299,BENGKEL Utama Bersama,JALAN MAWAR NOMOR 74 RT 13 RW 10,Tanah Sareal
R008543,BENGKEL Berkah Rasa 856,JALAN MAWAR NOMOR 200 RT 14 RW 05,Bogor Utara
R011351,WARUNG Sejahtera Kreatif 117,  Jl.  Mentari   No 160  RT 14 / RW 06 ,Bogor Timur
R011493,BENGKEL Sukses Persada 232,JALAN MENTARI NOMOR 247 RT 03 RW 06,Bogor Utara
R014564,STUDIO Mitra Busana 715,JALAN PUSPA NOMOR 2 RT 10 RW 02,Bogor Utara
R010230,WARUNG Abadi Karya 194,JALAN CEMPAKA NOMOR 102 RT 06 RW 12,Bogor Utara
R013163,UD Makmur Rasa 605,JALAN FLAMBOYAN NOMOR 249 RT 04 RW 12,Bogor Timur
R001792,STUDIO Cahaya Pangan,JALAN CEMPAKA NOMOR 212 RT 09 RW 03,Tanah Sareal
R001609,BENGKEL  Jaya Kreatif,JALAN WIJAYA NOMOR 33 RT 06 RW 06,Bogor Timur
R003037,STUDIO Mitra Pangan,JALAN DURIAN NOMOR 152 RT 02 RW 06,Tanah Sareal
R003072,KEDAI Anugerah Karya,JALAN ANGGREK NOMOR 162 RT 14 RW 03,Tanah Sareal
R001903,studio lestari abadi,JALAN SUKAMAJU NOMOR 123 RT 14 RW 03,Bogor Tengah
R008513,Depot Makmur Persada 832,JALAN PINUS NOMOR 24 RT 15 RW 05,Tanah Sareal
R002680,TOKO Sentosa Mandiri,JALAN MAWAR NOMOR 35 RT 02 RW 08,Bogor Tengah
R006278,PT Sukses Kreatif,JALAN DAHLIA NOMOR 225 RT 06 RW 08,Bogor Selatan
R002807,KEDAI Abadi Elektronik,JALAN CENDANA NOMOR 91 RT 09 RW 09,Bogor Selatan
R013374,CV Mandiri Pangan 758,JALAN PURNAMA NOMOR 9 RT 15 RW 07,Bogor Timur
R003889,DEPOT Karya Teknik,JALAN HARAPAN NOMOR 238 RT 09 RW 11,Tanah Sareal
R009358,PT Jaya Motor 524,JALAN TERATAI NOMOR 135 RT 11 RW 03,Bogor Utara
R003351,TOKO Sukses Digital,JALAN HARAPAN NOMOR 98 RT 14 RW 11,Bogor Barat
R004726,PT Maju Abadi,JALAN HARAPAN NOMOR 99 RT 06 RW 05,Tanah Sareal
R002494,DEPOT Gemilang Usaha,JALAN MERDEKA NOMOR 226 RT 08 RW 01,Bogor Tengah
